track,artist
Two Weeks Since You've Gone,Scott Walker
A Corner In The Sun,Walter Jackson
Walkin' In The Sunshine,Roger Miller
The Unknown Soldier,The Doors
Allá en el Baile Grande,Los Relampagos Del Norte
Cantarem la Vida,Raimon
(Say) You're My Girl,Roy Orbison
Ice Cream Song,The Dynamics
Endhan Yesuve Undhan Nesame,Sister Sarah Navaroji
I'm Gonna Make You Mine,Lou Christie
In My Little Corner Of The World,Anita Bryant
Lovin' Things,The Grass Roots
Tell Me Why,The Belmonts
Talk Talk,The Music Machine
Why Not Tonight,Jimmy Hughes
Too Young to Know,Scott Walker
Thème de l'inquiétude,André Hossein
Air,Cecil Taylor
La compapade,Jacques Dutronc
All The Love I've Got,Marv Johnson
Amazon,João Donato
Don't Come Knockin',Fats Domino
Babarabatiri - Live In Puerto Rico / 1963,Tito Puente
Titoli 1,Giovanni Fusco
Luzia Luluza,Gilberto Gil
"Piano Sonata No. 2 in A Major, Op. 2 No. 2: II. Largo appassionato",Ludwig van Beethoven
Lo Siento por Ti,Vicente Fernández
Quem Quiser Encontrar o Amor,Carmelia Alves
Thème Cheval,François de Roubaix
So Boot If At All,Soft Machine
Confidente De Secundaria,Los Teen Tops
Jean Marrabunta,Mighty Sparrow
Highway #1 (Wagon Wheel Watusi),Elmer Bernstein
What A Woman In Love Won't Do,Sandy Posey
I'm Gettin' Better,Jim Reeves
Gotta Go,Marty Paich
Negrura,La Lupe
Time Of The Season,The Zombies
Empegó Naroco,Tito Rodriguez
Karunaamoorthiyin,Jolly Abraham
The Ritual / Ancient Battle / 2nd Kroykah,Alexander Courage
La joueuse,Michel Legrand
The Other Man's Grass Is Always Greener,Petula Clark
Cradle Of Love,Johnny Preston
It Ain't No Use,Major Lance
"Ferry Leaving Harbor (From ""The Heroes Of Telemark"")",Jerry Goldsmith
You're My World,Cilla Black
Boys Are Boys and Girls Are Choice,The Monks
Greenfields,The Brothers Four
Exodus,Eddie Harris
Adeus Maria Fulô,Carmelia Alves
Tip-Toe Thru' The Tulips With Me,Tiny Tim
Little Green Apples,Roger Miller
Little Sister,Elvis Presley
Hot Smoke & Sasafrass,The Bubble Puppy
Come Home,The Dave Clark Five
Maldonne,Vladimir Cosma
I Thank You,Sam & Dave
The Bells Of St. Mary's - Instrumental,John Fahey
I Love How You Love Me,Bobby Vinton
Sota la Vostra Protecció,Traditional
That Girl Belongs To Yesterday,Gene Pitney
West Side Story: Act II: Somewhere,Leonard Bernstein
"The Ecstasy of Gold (From ""The Good, the Bad and the Ugly"")",Ennio Morricone
Vagabundear,Joan Manuel Serrat
1969 (Alternate Vocal) - 2019 Remaster,The Stooges
Hang On Sloopy,The McCoys
Mini-Skirt Minnie,Wilson Pickett
Baby Love,The Supremes
